"lon","lat","ID","Ciudad"
-73.16518,-37.00305,101,"Gran Concepcion"
-73.16559,-37.002283,102,"Gran Concepcion"
-73.15389,-37.015085,103,"Gran Concepcion"
-73.14456,-37.028937,104,"Gran Concepcion"
-73.15357,-37.011179,105,"Gran Concepcion"
-73.15751,-36.99632,106,"Gran Concepcion"
-73.13892,-37.03174,107,"Gran Concepcion"
-73.14534,-37.030119,108,"Gran Concepcion"
-73.14497,-37.030034,109,"Gran Concepcion"
-73.14984,-37.022291,110,"Gran Concepcion"
-73.15853,-36.982227,111,"Gran Concepcion"
-73.14856,-36.954666,112,"Gran Concepcion"
-73.15335,-37.011724,113,"Gran Concepcion"
-73.14113,-37.028111,114,"Gran Concepcion"
-73.15585,-36.985313,115,"Gran Concepcion"
-73.15549,-36.982262,116,"Gran Concepcion"
-73.14543,-37.005824,117,"Gran Concepcion"
-73.14314,-37.030586,118,"Gran Concepcion"
-72.95766,-36.60214,119,"Gran Concepcion"
-73.18626,-37.003084,120,"Gran Concepcion"
-73.16763,-36.990906,121,"Gran Concepcion"
-73.09698,-36.784206,122,"Gran Concepcion"
-73.10301,-36.84183,123,"Gran Concepcion"
-73.13759,-36.837342,124,"Gran Concepcion"
-73.15707,-37.093482,125,"Gran Concepcion"
-73.07083,-36.824467,126,"Gran Concepcion"
-73.13917,-36.829988,127,"Gran Concepcion"
-73.14111,-36.720601,128,"Gran Concepcion"
-73.02354,-36.92761,129,"Gran Concepcion"
-73.16658,-36.985382,130,"Gran Concepcion"
-73.12234,-36.723942,131,"Gran Concepcion"
-73.16836,-36.991692,132,"Gran Concepcion"
-73.11225,-36.724495,133,"Gran Concepcion"
-73.16521,-37.08423,134,"Gran Concepcion"
-73.11229,-36.843581,135,"Gran Concepcion"
-73.04504,-36.810924,136,"Gran Concepcion"
-73.06989,-36.82485,137,"Gran Concepcion"
-73.02464,-36.934487,138,"Gran Concepcion"
-73.05196,-36.822254,139,"Gran Concepcion"
-73.16754,-36.981923,140,"Gran Concepcion"
-73.13794,-36.713886,141,"Gran Concepcion"
-73.05339,-36.8265,142,"Gran Concepcion"
-73.01773,-36.955602,143,"Gran Concepcion"
-73.11068,-36.71691,144,"Gran Concepcion"
-73.02228,-36.935556,145,"Gran Concepcion"
-73.14507,-36.825695,146,"Gran Concepcion"
-73.01036,-36.939237,147,"Gran Concepcion"
-73.03613,-36.80267,148,"Gran Concepcion"
-73.02908,-36.911517,149,"Gran Concepcion"
-73.02256,-36.915012,150,"Gran Concepcion"
-72.97479,-36.70884,151,"Gran Concepcion"
-73.03176,-36.807022,152,"Gran Concepcion"
-73.05446,-36.826103,153,"Gran Concepcion"
-73.10838,-36.838394,154,"Gran Concepcion"
-73.15211,-36.98599,155,"Gran Concepcion"
-73.15629,-37.093304,156,"Gran Concepcion"
-73.11224,-36.830376,157,"Gran Concepcion"
-73.13139,-36.71541,158,"Gran Concepcion"
-73.1125,-36.733784,159,"Gran Concepcion"
-73.16434,-37.09185,160,"Gran Concepcion"
-73.0071,-36.831031,161,"Gran Concepcion"
-73.16293,-37.001816,162,"Gran Concepcion"
-72.96068,-36.604668,163,"Gran Concepcion"
-73.00847,-36.844278,164,"Gran Concepcion"
-73.06174,-36.7924,165,"Gran Concepcion"
-73.04038,-36.823208,166,"Gran Concepcion"
-73.04063,-36.80764,167,"Gran Concepcion"
-73.04123,-36.822906,168,"Gran Concepcion"
-73.06454,-36.82668,169,"Gran Concepcion"
-73.09869,-36.786076,170,"Gran Concepcion"
-73.1635,-37.086304,171,"Gran Concepcion"
-73.1526,-36.987011,172,"Gran Concepcion"
-73.10173,-36.747106,173,"Gran Concepcion"
-73.04949,-36.831894,174,"Gran Concepcion"
-72.99387,-36.735911,175,"Gran Concepcion"
-73.00448,-36.742671,176,"Gran Concepcion"
-73.03557,-36.82337,177,"Gran Concepcion"
-73.0956,-36.749077,178,"Gran Concepcion"
-73.16268,-37.001534,179,"Gran Concepcion"
-73.07729,-36.8099,180,"Gran Concepcion"
-73.05036,-36.80519,181,"Gran Concepcion"
-73.13734,-37.034176,182,"Gran Concepcion"
-73.04159,-36.826923,183,"Gran Concepcion"
-73.02175,-36.95046,184,"Gran Concepcion"
-73.15434,-37.010376,185,"Gran Concepcion"
-73.04063,-36.80764,186,"Gran Concepcion"
-73.08887,-36.804207,187,"Gran Concepcion"
-73.01535,-36.941437,188,"Gran Concepcion"
-73.02916,-36.90105,189,"Gran Concepcion"
-73.02241,-36.94835,190,"Gran Concepcion"
-73.10618,-36.84307,191,"Gran Concepcion"
-73.1733,-36.99372,192,"Gran Concepcion"
-73.11531,-36.714455,193,"Gran Concepcion"
-73.08141,-36.79332,194,"Gran Concepcion"
-73.16454,-36.99221,195,"Gran Concepcion"
-73.01341,-36.825203,196,"Gran Concepcion"
-73.09757,-36.803482,197,"Gran Concepcion"
-73.02228,-36.951277,198,"Gran Concepcion"
-72.99547,-36.744384,199,"Gran Concepcion"
-73.0218,-36.81898,200,"Gran Concepcion"
-73.1099,-36.722305,201,"Gran Concepcion"
-73.03645,-36.797035,202,"Gran Concepcion"
-73.10099,-36.799408,203,"Gran Concepcion"
-73.02425,-36.94297,204,"Gran Concepcion"
-73.14082,-36.84242,205,"Gran Concepcion"
-73.13785,-37.031258,206,"Gran Concepcion"
-73.13849,-36.85415,207,"Gran Concepcion"
-72.95208,-36.637653,208,"Gran Concepcion"
-73.13212,-36.880135,209,"Gran Concepcion"
-73.07175,-36.821415,210,"Gran Concepcion"
-73.04662,-36.82406,211,"Gran Concepcion"
-72.99692,-36.74528,212,"Gran Concepcion"
-73.01817,-36.942719,213,"Gran Concepcion"
-73.03863,-36.820335,214,"Gran Concepcion"
-73.09058,-36.840405,215,"Gran Concepcion"
-72.99086,-36.733433,216,"Gran Concepcion"
-73.06489,-36.827442,217,"Gran Concepcion"
-73.1402,-36.84728,218,"Gran Concepcion"
-73.0217,-36.774708,219,"Gran Concepcion"
-73.02968,-36.80694,220,"Gran Concepcion"
-73.08347,-36.760838,221,"Gran Concepcion"
-73.1293,-36.72266,222,"Gran Concepcion"
-73.04349,-36.82497,223,"Gran Concepcion"
-73.06615,-36.82666,224,"Gran Concepcion"
-73.12801,-36.740723,225,"Gran Concepcion"
-73.03322,-36.81422,226,"Gran Concepcion"
-73.13983,-36.848957,227,"Gran Concepcion"
-73.08217,-36.778896,228,"Gran Concepcion"
-73.02658,-36.815147,229,"Gran Concepcion"
-73.16218,-36.97924,230,"Gran Concepcion"
-73.15473,-36.987675,231,"Gran Concepcion"
-73.03047,-36.91145,232,"Gran Concepcion"
-72.59071,-38.732412,1,"Temuco"
-72.59411,-38.761133,2,"Temuco"
-72.58666,-38.74056,3,"Temuco"
-72.6212,-38.735227,4,"Temuco"
-72.6176,-38.727964,5,"Temuco"
-72.58056,-38.732645,6,"Temuco"
-72.57082,-38.734791,7,"Temuco"
-72.62649,-38.75884,8,"Temuco"
-72.6232,-38.737736,9,"Temuco"
-72.62233,-38.758351,10,"Temuco"
-72.60193,-38.743764,11,"Temuco"
-72.6102573,-38.71938249,12,"Temuco"
-72.61638,-38.74341,13,"Temuco"
-72.56341,-38.720107,14,"Temuco"
-72.59367,-38.731297,15,"Temuco"
-72.59301,-38.756212,16,"Temuco"
-72.62177,-38.73328,17,"Temuco"
-72.61224,-38.727016,18,"Temuco"
-72.62155,-38.718418,19,"Temuco"
-72.61004,-38.750584,20,"Temuco"
-72.63014,-38.734196,21,"Temuco"
-72.75181,-38.764179,22,"Temuco"
-72.5622,-38.717514,23,"Temuco"
-72.60613,-38.72575,24,"Temuco"
-72.58685,-38.770608,25,"Temuco"
-72.58355,-38.731367,26,"Temuco"
-72.58267,-38.73754,27,"Temuco"
-72.565,-38.717622,28,"Temuco"
-72.58956,-38.759824,29,"Temuco"
-72.55922,-38.713491,30,"Temuco"
-72.62574,-38.747086,31,"Temuco"
-72.5939,-38.758564,32,"Temuco"
-72.64209,-38.756001,33,"Temuco"
-72.57506,-38.731034,34,"Temuco"
-72.62568,-38.753168,35,"Temuco"
-72.60752,-38.73881,36,"Temuco"
-72.59565,-38.757628,37,"Temuco"
-72.61176,-38.741441,38,"Temuco"
-72.58826,-38.742012,39,"Temuco"
-72.58968,-38.760749,40,"Temuco"
-72.62619,-38.730585,41,"Temuco"
-72.60892,-38.728717,42,"Temuco"
-72.5826,-38.744298,43,"Temuco"
-72.60268,-38.764576,44,"Temuco"
-72.62037,-38.717868,45,"Temuco"
-72.5754,-38.73763,46,"Temuco"
-72.63134496,-38.75771546,47,"Temuco"
-72.57136,-38.740045,48,"Temuco"
-72.56377,-38.732437,49,"Temuco"
-72.6145,-38.735222,50,"Temuco"
-72.55826,-38.72457,51,"Temuco"
-72.59848,-38.764403,52,"Temuco"
-72.62842,-38.724748,53,"Temuco"
-72.75413,-38.765716,54,"Temuco"
-72.56492,-38.726398,55,"Temuco"
-72.5904,-38.755785,56,"Temuco"
-72.57037,-38.709238,57,"Temuco"
-72.60006,-38.771372,58,"Temuco"
-72.62042,-38.716582,59,"Temuco"
-72.60093,-38.734344,60,"Temuco"
-72.60809,-38.72954,61,"Temuco"
-72.60814,-38.767029,62,"Temuco"
-72.58762,-38.765498,63,"Temuco"
-72.58262,-38.73875,64,"Temuco"
-72.5814,-38.744492,65,"Temuco"
-72.60787,-38.747215,66,"Temuco"
-72.62611,-38.728818,67,"Temuco"
-72.59009,-38.732421,68,"Temuco"
-72.58954,-38.757996,69,"Temuco"
-72.62578,-38.737392,70,"Temuco"
-72.56591,-38.728973,71,"Temuco"
-72.63846,-38.759741,72,"Temuco"
-72.61065,-38.71995,73,"Temuco"
-72.586136,-38.741497,74,"Temuco"
-72.58481,-38.737568,75,"Temuco"
-72.6245,-38.713867,76,"Temuco"
-72.75317,-38.764387,77,"Temuco"
-72.6229,-38.742384,78,"Temuco"
-72.58791,-38.738678,79,"Temuco"
-72.59624,-38.759118,80,"Temuco"
-72.5872,-38.747707,81,"Temuco"
-72.58521,-38.734898,82,"Temuco"
-72.59926,-38.762546,83,"Temuco"
-72.57851,-38.744102,84,"Temuco"
-72.59374,-38.737156,85,"Temuco"
-72.577,-38.723226,86,"Temuco"
-72.56673,-38.73014,87,"Temuco"
-72.58515,-38.732727,88,"Temuco"
-72.599,-38.739048,89,"Temuco"
-72.65339,-38.714702,90,"Temuco"
-72.56846,-38.734154,91,"Temuco"
-72.58596,-38.740593,92,"Temuco"
-72.60719,-38.734093,93,"Temuco"
-72.60648,-38.743122,94,"Temuco"
-72.60665,-38.745632,95,"Temuco"
-72.58938,-38.735104,96,"Temuco"
-72.58867,-38.744133,97,"Temuco"
-72.6071,-38.738052,98,"Temuco"
-72.60639,-38.74708,99,"Temuco"
-72.56197,-38.724609,100,"Temuco"
-72.63317,-38.742226,101,"Temuco"
-72.63246,-38.751255,102,"Temuco"
-72.60769,-38.734426,103,"Temuco"
-72.63189,-38.757339,104,"Temuco"
-72.75661,-38.766228,105,"Temuco"
-72.59011,-38.735233,106,"Temuco"
-72.5916,-38.73302,107,"Temuco"
-70.6503,-33.444871,1,"Gran Santiago"
-70.65729,-33.439211,2,"Gran Santiago"
-70.64581,-33.47071,3,"Gran Santiago"
-70.66272,-33.440939,4,"Gran Santiago"
-70.64889,-33.466963,5,"Gran Santiago"
-70.64545,-33.42674,6,"Gran Santiago"
-70.66916,-33.455643,7,"Gran Santiago"
-70.68307,-33.438874,8,"Gran Santiago"
-70.67965,-33.441021,9,"Gran Santiago"
-70.64694,-33.425962,10,"Gran Santiago"
-70.6403,-33.449866,11,"Gran Santiago"
-70.66252,-33.409792,12,"Gran Santiago"
-70.65681,-33.423142,13,"Gran Santiago"
-70.69843,-33.456606,14,"Gran Santiago"
-70.69316,-33.481839,15,"Gran Santiago"
-70.67137,-33.470746,16,"Gran Santiago"
-70.70038,-33.461464,17,"Gran Santiago"
-70.678,-33.442421,18,"Gran Santiago"
-70.66598,-33.422047,19,"Gran Santiago"
-70.65671,-33.448709,20,"Gran Santiago"
-70.64402,-33.467792,21,"Gran Santiago"
-70.66204,-33.435953,22,"Gran Santiago"
-70.63184,-33.449762,23,"Gran Santiago"
-70.65926,-33.472059,24,"Gran Santiago"
-70.69222,-33.458589,25,"Gran Santiago"
-70.65161,-33.474713,26,"Gran Santiago"
-70.65968,-33.473263,27,"Gran Santiago"
-70.66255,-33.410369,28,"Gran Santiago"
-70.69875,-33.456016,29,"Gran Santiago"
-70.67178,-33.422018,30,"Gran Santiago"
-70.66869,-33.435776,31,"Gran Santiago"
-70.67931,-33.440352,32,"Gran Santiago"
-70.64515,-33.42455,33,"Gran Santiago"
-70.6581,-33.455707,34,"Gran Santiago"
-70.69499,-33.475292,35,"Gran Santiago"
-70.69188,-33.471515,36,"Gran Santiago"
-70.6755,-33.431464,37,"Gran Santiago"
-70.64804,-33.460927,38,"Gran Santiago"
-70.63669,-33.449571,39,"Gran Santiago"
-70.67072,-33.448969,40,"Gran Santiago"
-70.65621662,-33.41550966,41,"Gran Santiago"
-70.62786,-33.467958,42,"Gran Santiago"
-70.69174,-33.463481,43,"Gran Santiago"
-70.65276,-33.466155,44,"Gran Santiago"
-70.66036,-33.45429,45,"Gran Santiago"
-70.65161,-33.47032,46,"Gran Santiago"
-70.66238,-33.421408,47,"Gran Santiago"
-70.65681,-33.420781,48,"Gran Santiago"
-70.64853,-33.467809,49,"Gran Santiago"
-70.64964,-33.474818,50,"Gran Santiago"
-70.65523,-33.42554,51,"Gran Santiago"
-70.67727,-33.456698,52,"Gran Santiago"
-70.68771,-33.437399,53,"Gran Santiago"
-70.71678,-33.475076,54,"Gran Santiago"
-70.74236,-33.365788,55,"Gran Santiago"
-70.65271,-33.406651,56,"Gran Santiago"
-70.69186,-33.470747,57,"Gran Santiago"
-70.64887,-33.459191,58,"Gran Santiago"
-70.64651,-33.458723,59,"Gran Santiago"
-70.64299,-33.46163,60,"Gran Santiago"
-70.64955,-33.475348,61,"Gran Santiago"
-70.638,-33.467833,62,"Gran Santiago"
-70.67535,-33.44512,63,"Gran Santiago"
-70.66141,-33.454815,64,"Gran Santiago"
-70.67636,-33.459428,65,"Gran Santiago"
-70.68381,-33.46673,66,"Gran Santiago"
-70.6772,-33.580522,67,"Gran Santiago"
-70.63396,-33.406112,68,"Gran Santiago"
-70.65271,-33.406651,69,"Gran Santiago"
-70.63634,-33.408019,70,"Gran Santiago"
-70.66589,-33.400646,71,"Gran Santiago"
-70.66335,-33.445538,72,"Gran Santiago"
-70.65264,-33.406208,73,"Gran Santiago"
-70.66038,-33.400992,74,"Gran Santiago"
-70.6563,-33.424924,75,"Gran Santiago"
-70.63289,-33.457372,76,"Gran Santiago"
-70.67317,-33.468877,77,"Gran Santiago"
-70.63689,-33.457691,78,"Gran Santiago"
-70.53654,-33.403866,79,"Gran Santiago"
-70.54939,-33.388277,80,"Gran Santiago"
-70.53629,-33.420601,81,"Gran Santiago"
-70.55914,-33.389926,82,"Gran Santiago"
-70.55426,-33.426196,83,"Gran Santiago"
-70.53347,-33.416042,84,"Gran Santiago"
-70.57975,-33.388064,85,"Gran Santiago"
-70.53168,-33.42566,86,"Gran Santiago"
-70.50785,-33.35347,87,"Gran Santiago"
-70.49618,-33.36686,88,"Gran Santiago"
-70.50479,-33.361627,89,"Gran Santiago"
-70.54044,-33.405717,90,"Gran Santiago"
-70.63096,-33.446372,91,"Gran Santiago"
-70.6143,-33.424418,92,"Gran Santiago"
-70.62575,-33.443433,93,"Gran Santiago"
-70.62161,-33.430305,94,"Gran Santiago"
-70.60482,-33.42207,95,"Gran Santiago"
