"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
38618304;1;1964;1;0;4;-1;0;4;1;800000;1;1;1;4;23,52
38618304;2;1968;2;1;4;-1;0;4;1;300000;1;1;1;2;21,97
38618304;3;1993;1;2;6;6;0;14;0;0;2;0;1;2;17,93
38618304;4;2000;2;2;3;4;0;14;0;0;2;0;1;2;29,10
38620601;1;1945;2;0;4;-1;0;11;0;75000;1;1;1;2;27,70
38620601;2;1974;2;2;5;-1;1;12;0;150000;1;1;1;4;55,06
38620602;1;1956;2;0;7;-1;1;4;2;180000;1;1;1;2;33,17
38620602;2;1929;2;3;4;-1;0;13;0;98000;1;1;0;0;27,70
38624703;1;1969;1;0;4;-1;0;4;1;250000;1;0;1;4;18,90
38624703;2;1972;2;1;7;-1;1;4;1;150000;1;0;1;2;29,32
38624703;3;2001;2;2;3;4;0;14;0;0;2;0;1;4;23,39
38624703;4;2005;1;2;2;3;0;14;0;0;2;0;1;2;29,20
38624703;5;2011;2;2;1;-1;0;13;0;0;2;0;1;2;30,39
38624704;1;1953;1;0;4;-1;0;4;1;250000;1;1;0;0;18,51
38624704;2;1965;2;1;4;-1;0;11;0;0;2;1;0;0;18,63
38624704;3;1994;1;2;4;4;0;14;0;80000;1;1;1;5;27,09
38624705;1;1949;1;0;4;-1;0;9;0;300000;1;1;1;2;32,96
38624705;2;1941;2;1;4;-1;0;11;0;0;2;0;1;2;27,70
38624706;1;1953;2;0;5;-1;1;3;1;400000;1;0;1;7;27,67
38624706;2;1987;1;2;6;6;0;14;0;0;2;1;1;3;27,07
38624707;1;1982;1;0;4;-1;0;4;1;350000;1;1;1;4;40,62
38624707;2;1981;2;1;4;-1;0;4;1;300000;1;1;1;6;36,47
38624707;3;2005;2;2;2;3;0;14;0;0;2;0;1;2;29,10
38624707;4;2011;1;2;1;-1;0;13;0;0;2;0;1;2;35,68
38624708;1;1958;1;0;4;-1;0;4;1;800000;1;1;0;0;19,94
38624708;2;1955;2;1;4;-1;0;11;0;0;2;0;1;5;15,54
38624708;3;1995;2;2;4;4;0;14;0;0;2;0;1;2;17,58
38624710;1;1946;1;0;7;-1;1;9;0;250000;1;1;1;2;26,29
38624710;2;1950;2;1;3;-1;0;11;0;0;2;1;1;2;27,67
38624711;1;1953;1;0;4;-1;0;4;1;500000;1;1;1;4;18,51
38624711;2;1991;2;2;4;4;0;13;0;0;2;1;1;7;18,17
38624711;3;1991;1;2;4;4;0;13;0;0;2;1;0;0;15,20
38624712;1;1968;1;0;5;-1;1;3;2;700000;1;0;1;4;23,52
38624712;2;1980;2;1;6;-1;0;3;2;200000;1;0;1;4;36,47
38624712;3;2000;1;2;3;4;0;14;0;0;2;0;1;4;36,32
38624712;4;2007;2;2;2;2;0;14;0;0;2;0;1;4;37,81
38624713;1;1985;1;0;6;-1;0;4;1;750000;1;1;1;4;34,44
38624713;2;1981;2;1;6;-1;0;11;0;0;2;0;1;12;30,92
38624713;3;2001;1;2;3;4;0;14;0;0;2;0;1;4;30,80
