IDFolio;IDPersona;IDViaje;Factor;ModoAgregado;TiempoViaje;Dist_Viaje_mt;Proposito;PropositoESTRAUS;Edad;Sexo;Ingreso;Actividad
200001;1;3;6,029657068;Transporte Privado;0:15:00;14060,07;Volver a casa;Otros;48;Masculino;900000;Trabajador de Cuenta Propia
200001;1;4;6,029657068;Transporte Privado;0:15:00;14060,07;Buscar/dejar alguien;Otros;48;Masculino;900000;Trabajador de Cuenta Propia
200001;1;5;6,029657068;Transporte Privado;0:10:00;0;Comer/tomar algo;Otros;48;Masculino;900000;Trabajador de Cuenta Propia
200001;1;6;6,029657068;Transporte Privado;0:15:00;3732,6;Buscar/dejar algo;Otros;48;Masculino;900000;Trabajador de Cuenta Propia
200001;1;7;6,029657068;Transporte Privado;0:20:00;15522,67;Volver a casa;Otros;48;Masculino;900000;Trabajador de Cuenta Propia
200001;2;1;3,111677408;Transporte Privado;0:20:00;14858,46;Buscar/dejar alguien;Estudio;31;Femenino;0;Profesional
200001;2;2;3,111677408;Transporte Privado;0:20:00;14858,46;Volver a casa;Estudio;31;Femenino;0;Profesional
200001;2;3;3,111677408;Transporte Privado;0:20:00;14858,46;Buscar/dejar alguien;Estudio;31;Femenino;0;Profesional
200001;2;4;3,111677408;Transporte Privado;0:20:00;14858,46;Volver a casa;Estudio;31;Femenino;0;Profesional
200001;2;5;3,111677408;Transporte Privado;0:20:00;0;Volver a casa;Estudio;31;Femenino;0;Profesional
200001;3;1;31,68457638;Transporte Privado;0:30:00;14858,46;Al Estudio;Estudio;9;Masculino;0;Estudiante
200001;3;2;31,68457638;Transporte Privado;0:30:00;14858,46;Volver a casa;Estudio;9;Masculino;0;Estudiante
200001;3;3;31,68457638;Transporte Privado;0:20:00;0;Volver a casa;Estudio;9;Masculino;0;Estudiante
200002;1;1;430,4154235;Caminata;0:08:00;1416,7;Trámites;Otros;50;Masculino;205000;Trabajador de Cuenta Propia
200002;1;2;430,4154235;Caminata;0:08:00;1416,7;Volver a casa;Otros;50;Masculino;205000;Trabajador de Cuenta Propia
200002;3;1;222,1210815;Caminata;0:10:00;0;Buscar/dejar alguien;Otros;30;Femenino;205000;Trabajador de Cuenta Propia
200002;3;2;222,1210815;Caminata;0:15:00;0;Buscar/dejar alguien;Otros;30;Femenino;205000;Trabajador de Cuenta Propia
200002;3;3;222,1210815;Caminata;0:10:00;0;Volver a casa;Otros;30;Femenino;205000;Trabajador de Cuenta Propia
200002;3;4;222,1210815;Caminata;0:15:00;0;Volver a casa;Otros;30;Femenino;205000;Trabajador de Cuenta Propia
200002;4;1;165,6316125;Transporte Público;0:23:00;6310,63;Al Estudio;Estudio;21;Femenino;0;Estudiante
200002;4;2;165,6316125;Caminata;0:20:00;6567,72;Comer/tomar algo;Estudio;21;Femenino;0;Estudiante
200002;4;3;165,6316125;Transporte Público;0:20:00;6567,72;Al Estudio;Estudio;21;Femenino;0;Estudiante
200002;4;4;165,6316125;Caminata;0:20:00;6310,63;Volver a casa;Estudio;21;Femenino;0;Estudiante
200002;5;1;66,19672326;Caminata;0:15:00;0;Al Estudio;Estudio;4;Masculino;0;Estudiante
200002;5;2;66,19672326;Caminata;0:15:00;0;Volver a casa;Estudio;4;Masculino;0;Estudiante
200005;1;1;106,0397072;Caminata;0:30:00;1416,7;De compras;Otros;73;Femenino;0;Duena de Casa
200005;1;2;106,0397072;Caminata;0:10:00;1416,7;Volver a casa;Otros;73;Femenino;0;Duena de Casa
200005;2;1;120,7115537;Transporte Público;0:45:00;7513,23;Al Trabajo;Trabajo;57;Femenino;300000;Empleado (excepto F.F.A.A)
200005;2;2;120,7115537;Transporte Público;1:00:00;7513,23;Volver a casa;Trabajo;57;Femenino;300000;Empleado (excepto F.F.A.A)
200009;1;1;4,66892219;Transporte Público;0:15:00;16180,09;Ver a alguien;Otros;71;Femenino;0;Duena de Casa
200009;1;2;4,66892219;Transporte Público;0:15:00;16180,09;Volver a casa;Otros;71;Femenino;0;Duena de Casa
200037;1;1;6,029657068;Transporte Privado;0:15:00;6310,63;Al Trabajo;Trabajo;41;Masculino;700000;Profesional
200037;1;2;6,029657068;Transporte Privado;0:15:00;6310,63;Volver a casa;Trabajo;41;Masculino;700000;Profesional
200037;2;1;3,07315519;Transporte Público;0:25:00;17006,74;Al Trabajo;Trabajo;41;Femenino;525000;Profesional
200037;2;2;3,07315519;Transporte Público;0:25:00;17006,74;Volver a casa;Trabajo;41;Femenino;525000;Profesional
200037;3;1;133,1698649;Caminata;0:30:00;13028,53;Al Estudio;Estudio;23;Masculino;0;Estudiante
200037;3;2;133,1698649;Caminata;0:30:00;13028,53;Volver a casa;Estudio;23;Masculino;0;Estudiante
200038;1;1;0,6232876;Transporte Público;0:35:00;4947,31;Al Trabajo;Trabajo;45;Femenino;525000;Profesional
200038;1;2;0,6232876;Transporte Público;0:30:00;4947,31;Volver a casa;Trabajo;45;Femenino;525000;Profesional
200072;1;1;3,111677408;Caminata;0:07:00;0;Al Trabajo;Trabajo;31;Femenino;205000;Trabajador de Cuenta Propia
200072;1;2;3,111677408;Caminata;0:07:00;6258,01;Comer/tomar algo;Trabajo;31;Femenino;205000;Trabajador de Cuenta Propia
200072;1;3;3,111677408;Caminata;0:07:00;6258,01;Al Trabajo;Trabajo;31;Femenino;205000;Trabajador de Cuenta Propia
200072;1;4;3,111677408;Caminata;0:07:00;6258,01;Volver a casa;Trabajo;31;Femenino;205000;Trabajador de Cuenta Propia
200072;2;1;140,873332;Caminata;0:15:00;1416,7;Al Estudio;Estudio;15;Femenino;0;Estudiante
200072;2;2;140,873332;Caminata;0:15:00;6584,02;Volver a casa;Estudio;15;Femenino;0;Estudiante
200072;3;1;31,68457638;No Motorizado;0:10:00;3402,3;Al Estudio;Estudio;11;Masculino;0;Estudiante
200072;3;2;31,68457638;No Motorizado;0:20:00;3402,3;Volver a casa;Estudio;11;Masculino;0;Estudiante
200075;1;1;1,222915945;Caminata;0:05:00;6258,01;De compras;Otros;45;Masculino;525000;Empleado (excepto F.F.A.A)
200075;1;2;1,222915945;Caminata;0:36:00;6258,01;Volver a casa;Otros;45;Masculino;525000;Empleado (excepto F.F.A.A)
200077;1;1;0,6232876;Transporte Público;0:30:00;17006,74;Al Trabajo;Trabajo;44;Femenino;205000;Trabajador de Cuenta Propia
200077;1;2;0,6232876;Transporte Público;0:35:00;17968,33;De compras;Otros;44;Femenino;205000;Trabajador de Cuenta Propia
200077;1;3;0,6232876;Caminata;0:11:00;1416,7;Buscar/dejar algo;Otros;44;Femenino;205000;Trabajador de Cuenta Propia
200077;1;4;0,6232876;Caminata;0:05:00;0;Volver a casa;Otros;44;Femenino;205000;Trabajador de Cuenta Propia
200107;1;1;6,535491935;Transporte Privado;0:30:00;6584,02;Recreación;Otros;41;Masculino;0;Empleado (excepto F.F.A.A)
200107;1;2;6,535491935;Transporte Privado;0:29:00;6584,02;Volver a casa;Otros;41;Masculino;0;Empleado (excepto F.F.A.A)
200107;2;1;91,60676188;Transporte Privado;0:30:00;6584,02;Recreación;Otros;38;Femenino;0;Duena de Casa
200107;2;2;91,60676188;Transporte Privado;0:31:00;6584,02;Volver a casa;Otros;38;Femenino;0;Duena de Casa
200107;3;1;21,83977806;Transporte Privado;0:30:00;6584,02;Recreación;Otros;16;Femenino;0;Estudiante
200107;3;2;21,83977806;Transporte Privado;0:29:00;6584,02;Volver a casa;Otros;16;Femenino;0;Estudiante
200107;4;1;59,73859718;Transporte Privado;0:30:00;6584,02;Recreación;Otros;2;Femenino;0;No trabaja
200107;4;2;59,73859718;Transporte Privado;0:29:00;6584,02;Volver a casa;Otros;2;Femenino;0;No trabaja
200114;1;1;5,412177215;Transporte Privado;0:20:00;12767,94;Al Trabajo;Trabajo;46;Femenino;0;Empleado (excepto F.F.A.A)
200114;1;2;5,412177215;Transporte Privado;0:20:00;12767,94;Volver a casa;Trabajo;46;Femenino;0;Empleado (excepto F.F.A.A)
200114;2;1;46,11534534;Caminata;0:10:00;14056,26;Al Estudio;Estudio;20;Masculino;0;Estudiante
200114;2;2;46,11534534;Caminata;0:10:00;3230,28;Volver a casa;Estudio;20;Masculino;0;Estudiante
200114;3;1;46,11534534;Transporte Público;0:30:00;14999,62;Al Trabajo;Trabajo;24;Masculino;0;Empleado (excepto F.F.A.A)
200114;3;2;46,11534534;Transporte Público;0:30:00;14999,62;Volver a casa;Trabajo;24;Masculino;0;Empleado (excepto F.F.A.A)
200123;1;1;39,30304477;Transporte Privado;3:00:00;14056,26;Al Trabajo;Trabajo;57;Masculino;0;Trabajador de Cuenta Propia
200123;1;2;39,30304477;Transporte Privado;3:01:00;14056,26;Volver a casa;Trabajo;57;Masculino;0;Trabajador de Cuenta Propia
200123;2;1;1,852939942;Transporte Público;0:40:00;8165,77;De compras;Otros;54;Femenino;0;Duena de Casa
200123;2;2;1,852939942;Transporte Público;0:50:00;8165,77;Volver a casa;Otros;54;Femenino;0;Duena de Casa
200124;1;1;6,535491935;Caminata;0:20:00;14056,26;Al Trabajo;Trabajo;53;Masculino;0;Empleado (excepto F.F.A.A)
200124;1;2;6,535491935;Caminata;0:21:00;3230,28;Volver a casa;Trabajo;53;Masculino;0;Empleado (excepto F.F.A.A)
200124;2;1;18,66444052;Transporte Público;0:25:00;12888,66;De compras;Otros;58;Femenino;0;Duena de Casa
200124;2;2;18,66444052;Transporte Público;0:30:00;12888,66;Volver a casa;Otros;58;Femenino;0;Duena de Casa
200124;3;1;1,279872464;Transporte Público;3:00:00;1757,38;Al Trabajo;Trabajo;28;Masculino;400000;Profesional
200124;4;1;1,279872464;Caminata;0:20:00;14056,26;Al Trabajo;Trabajo;26;Masculino;0;Empleado (excepto F.F.A.A)
200124;4;2;1,279872464;Caminata;0:21:00;14056,26;Volver a casa;Trabajo;26;Masculino;0;Empleado (excepto F.F.A.A)
200129;2;1;4,545379832;Caminata;0:30:00;2739,04;De compras;Otros;50;Femenino;0;Duena de Casa
200129;2;2;4,545379832;Transporte Público;0:30:00;2739,04;Volver a casa;Otros;50;Femenino;0;Duena de Casa
200129;3;1;122,4781551;Caminata;0:30:00;2739,04;Otra Cosa;Otros;19;Femenino;0;Estudiante
200129;3;2;122,4781551;Transporte Público;0:30:00;15164,75;Al Estudio;Estudio;19;Femenino;0;Estudiante
200129;3;3;122,4781551;Transporte Público;0:06:00;1675,33;Al Estudio;Estudio;19;Femenino;0;Estudiante
200129;3;4;122,4781551;Transporte Público;0:10:00;15537,9;Volver a casa;Estudio;19;Femenino;0;Estudiante
200131;1;1;51,31176338;Caminata;0:30:00;3610,32;Al Trabajo;Trabajo;66;Masculino;120000;Obrero
200131;1;2;51,31176338;Caminata;0:30:00;8179,96;Volver a casa;Trabajo;66;Masculino;120000;Obrero
200131;2;1;39,75633393;Caminata;0:20:00;4609,33;Recreación;Otros;61;Femenino;120000;Trabajador de Cuenta Propia
200131;2;2;39,75633393;Caminata;0:20:00;0;Volver a casa;Otros;61;Femenino;120000;Trabajador de Cuenta Propia
200131;3;1;51,31176338;Transporte Privado;1:00:00;18334,79;Al Trabajo;Trabajo;41;Masculino;205000;Obrero
200131;3;2;51,31176338;Transporte Privado;1:00:00;18334,79;Volver a casa;Trabajo;41;Masculino;205000;Obrero
200131;4;1;246,1559667;Caminata;0:20:00;2739,04;Al Trabajo;Trabajo;33;Masculino;205000;Obrero
